Czas(s),Calkowity czas oczekiwania(s)
6870.0,355.0
6875.0,400.0
6880.0,430.0
6885.0,430.0
6890.0,430.0
6895.0,425.0
6900.0,445.0
6905.0,380.0
6910.0,390.0
6915.0,415.0
6920.0,375.0
6925.0,380.0
6930.0,440.0
6935.0,455.0
6940.0,460.0
6945.0,415.0
6950.0,420.0
6955.0,320.0
6960.0,295.0
6965.0,265.0
6970.0,270.0
6975.0,250.0
6980.0,245.0
6985.0,260.0
6990.0,295.0
6995.0,295.0
7000.0,270.0
7005.0,275.0
7010.0,290.0
7015.0,280.0
7020.0,275.0
7025.0,305.0
7030.0,340.0
7035.0,320.0
7040.0,320.0
7045.0,265.0
7050.0,270.0
7055.0,230.0
7060.0,175.0
7065.0,200.0
7070.0,220.0
7075.0,240.0
7080.0,245.0
7085.0,220.0
7090.0,185.0
7095.0,210.0
7100.0,250.0
7105.0,275.0
7110.0,265.0
7115.0,220.0
7120.0,170.0
7125.0,180.0
7130.0,195.0
7135.0,195.0
7140.0,155.0
7145.0,140.0
7150.0,140.0
7155.0,160.0
7160.0,175.0
7165.0,120.0
7170.0,120.0
7175.0,120.0
7180.0,145.0
7185.0,175.0
7190.0,185.0
7195.0,210.0
7200.0,225.0
7205.0,215.0
7210.0,245.0
7215.0,290.0
7220.0,330.0
7225.0,360.0
7230.0,390.0
7235.0,415.0
7240.0,420.0
7245.0,365.0
7250.0,380.0
7255.0,415.0
7260.0,455.0
7265.0,425.0
7270.0,470.0
7275.0,515.0
7280.0,570.0
7285.0,630.0
7290.0,630.0
7295.0,620.0
7300.0,525.0
7305.0,540.0
7310.0,495.0
7315.0,425.0
7320.0,385.0
7325.0,340.0
7330.0,315.0
7335.0,340.0
7340.0,270.0
7345.0,275.0
7350.0,180.0
7355.0,200.0
7360.0,175.0
7365.0,215.0
7370.0,250.0
7375.0,270.0
7380.0,265.0
7385.0,300.0
7390.0,325.0
7395.0,360.0
7400.0,410.0
7405.0,430.0
7410.0,435.0
7415.0,475.0
7420.0,505.0
7425.0,545.0
7430.0,570.0
7435.0,585.0
7440.0,620.0
7445.0,650.0
7450.0,625.0
7455.0,660.0
7460.0,640.0
7465.0,660.0
7470.0,600.0
7475.0,645.0
7480.0,595.0
7485.0,655.0
7490.0,620.0
7495.0,690.0
7500.0,725.0
7505.0,770.0
7510.0,780.0
7515.0,705.0
7520.0,680.0
7525.0,645.0
7530.0,600.0
7535.0,590.0
7540.0,635.0
7545.0,610.0
7550.0,620.0
7555.0,615.0
7560.0,645.0
7565.0,655.0
7570.0,540.0
7575.0,540.0
7580.0,475.0
7585.0,425.0
7590.0,410.0
7595.0,300.0
7600.0,320.0
7605.0,345.0
7610.0,365.0
7615.0,380.0
7620.0,405.0
7625.0,375.0
7630.0,405.0
7635.0,450.0
7640.0,460.0
7645.0,460.0
7650.0,455.0
7655.0,415.0
7660.0,420.0
7665.0,395.0
7670.0,395.0
7675.0,215.0
7680.0,235.0
7685.0,180.0
7690.0,205.0
7695.0,180.0
7700.0,170.0
7705.0,175.0
7710.0,205.0
7715.0,235.0
7720.0,255.0
7725.0,275.0
7730.0,285.0
7735.0,295.0
7740.0,315.0
7745.0,260.0
7750.0,290.0
7755.0,300.0
7760.0,335.0
7765.0,310.0
7770.0,305.0
7775.0,315.0
7780.0,335.0
7785.0,300.0
7790.0,340.0
7795.0,320.0
7800.0,230.0
7805.0,220.0
7810.0,255.0
7815.0,290.0
7820.0,340.0
