Czas(s),Calkowity czas oczekiwania(s)
6020.0,725.0
6025.0,915.0
6030.0,931.0
6035.0,680.0
6040.0,484.0
6045.0,200.0
6050.0,34.0
6055.0,59.0
6060.0,97.0
6065.0,139.0
6070.0,185.0
6075.0,60.0
6080.0,25.0
6085.0,79.0
6090.0,156.0
6095.0,268.0
6100.0,410.0
6105.0,579.0
6110.0,767.0
6115.0,957.0
6120.0,802.0
6125.0,558.0
6130.0,370.0
6135.0,162.0
6140.0,64.0
6145.0,89.0
6150.0,114.0
6155.0,142.0
6160.0,177.0
6165.0,5.0
6170.0,31.0
6175.0,84.0
6180.0,168.0
6185.0,279.0
6190.0,421.0
6195.0,600.0
6200.0,790.0
6205.0,895.0
6210.0,669.0
6215.0,433.0
6220.0,249.0
6225.0,34.0
6230.0,49.0
6235.0,64.0
6240.0,83.0
6245.0,104.0
6250.0,9.0
6255.0,20.0
6260.0,63.0
6265.0,136.0
6270.0,239.0
6275.0,378.0
6280.0,547.0
6285.0,734.0
6290.0,924.0
6295.0,856.0
6300.0,623.0
6305.0,438.0
6310.0,224.0
6315.0,53.0
6320.0,78.0
6325.0,105.0
6330.0,135.0
6335.0,166.0
6340.0,4.0
6345.0,37.0
6350.0,95.0
6355.0,187.0
6360.0,307.0
6365.0,459.0
6370.0,638.0
6375.0,828.0
6380.0,1018.0
6385.0,773.0
6390.0,594.0
6395.0,323.0
6400.0,111.0
6405.0,81.0
6410.0,123.0
6415.0,171.0
6420.0,224.0
6425.0,201.0
6430.0,7.0
6435.0,38.0
6440.0,101.0
6445.0,192.0
6450.0,311.0
6455.0,463.0
6460.0,645.0
6465.0,835.0
6470.0,861.0
6475.0,631.0
6480.0,458.0
6485.0,235.0
6490.0,46.0
6495.0,69.0
6500.0,94.0
6505.0,119.0
6510.0,147.0
6515.0,12.0
6520.0,28.0
6525.0,77.0
6530.0,151.0
6535.0,252.0
6540.0,386.0
6545.0,545.0
6550.0,730.0
6555.0,920.0
6560.0,764.0
6565.0,526.0
6570.0,352.0
6575.0,139.0
6580.0,106.0
6585.0,161.0
6590.0,217.0
6595.0,279.0
6600.0,344.0
6605.0,74.0
6610.0,42.0
6615.0,100.0
6620.0,191.0
6625.0,314.0
6630.0,469.0
6635.0,653.0
6640.0,843.0
6645.0,946.0
6650.0,708.0
6655.0,459.0
6660.0,290.0
6665.0,32.0
6670.0,61.0
6675.0,97.0
6680.0,137.0
6685.0,184.0
6690.0,112.0
6695.0,17.0
6700.0,60.0
6705.0,131.0
6710.0,230.0
6715.0,355.0
6720.0,517.0
6725.0,706.0
6730.0,896.0
6735.0,830.0
6740.0,596.0
6745.0,427.0
6750.0,209.0
6755.0,87.0
6760.0,121.0
6765.0,160.0
6770.0,205.0
6775.0,254.0
6780.0,31.0
6785.0,20.0
6790.0,65.0
6795.0,135.0
6800.0,236.0
6805.0,370.0
6810.0,537.0
6815.0,726.0
6820.0,916.0
6825.0,694.0
6830.0,514.0
6835.0,308.0
6840.0,80.0
6845.0,79.0
6850.0,117.0
6855.0,162.0
6860.0,207.0
6865.0,172.0
6870.0,12.0
6875.0,54.0
6880.0,123.0
6885.0,221.0
6890.0,346.0
6895.0,504.0
6900.0,688.0
6905.0,878.0
6910.0,896.0
6915.0,653.0
6920.0,466.0
6925.0,230.0
6930.0,32.0
6935.0,52.0
6940.0,72.0
6945.0,95.0
6950.0,120.0
6955.0,1.0
6960.0,19.0
6965.0,64.0
6970.0,139.0
6975.0,244.0
6980.0,387.0
6985.0,561.0
6990.0,751.0
6995.0,941.0
7000.0,796.0
7005.0,602.0
7010.0,394.0
7015.0,162.0
7020.0,103.0
7025.0,140.0
7030.0,188.0
7035.0,238.0
7040.0,288.0
7045.0,14.0
7050.0,42.0
7055.0,101.0
7060.0,192.0
7065.0,312.0
7070.0,468.0
7075.0,655.0
7080.0,845.0
7085.0,949.0
7090.0,708.0
7095.0,497.0
7100.0,301.0
7105.0,71.0
7110.0,60.0
7115.0,95.0
7120.0,140.0
7125.0,188.0
7130.0,103.0
7135.0,16.0
7140.0,60.0
7145.0,137.0
7150.0,246.0
7155.0,382.0
7160.0,552.0
7165.0,742.0
7170.0,932.0
7175.0,866.0
7180.0,618.0
7185.0,385.0
7190.0,159.0
7195.0,0.0
7200.0,0.0
7205.0,4.0
7210.0,12.0
7215.0,30.0
7220.0,4.0
7225.0,30.0
7230.0,74.0
7235.0,146.0
7240.0,250.0
7245.0,387.0
7250.0,551.0
7255.0,741.0
7260.0,931.0
7265.0,700.0
7270.0,523.0
7275.0,323.0
7280.0,137.0
7285.0,115.0
7290.0,158.0
7295.0,204.0
7300.0,260.0
